id,product_url,color,size,width,brand_name,model_name,is_tbyb,tags,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,arModelAndroidUrl,qty,subCollection,subCollectionId,isCygnusEnabled,searchProductName,Market_Price,Lenskart_Price
211946,https://www.lenskart.com/lenskart-air-la-e16241-c1-eyeglasses.html,Grey,Medium,137 mm,Lenskart Air,LA E16241,False,Air Essentials,False,eyeframe,[],0,400,0.0,,"Medium,Round,Lenskart Air,Full Rim",,2079,Dopamine Brights,27611.0,False,,1700,1700
212110,https://www.lenskart.com/john-jacobs-jj-e16288-c2-eyeglasses.html,Gold,Medium,134 mm,John Jacobs,JJ E16288,False,John Jacobs,False,eyeframe,[],0,599,0.0,,"Medium,Cat Eye,John Jacobs,Rimless",https://lookr-static.lenskart.com/frameassets/212110/android/sku_212110.glb,425,Supreme Steel,26271.0,True,Gold Cat Eye Rimless Eyeglasses,3500,3500
201047,https://www.lenskart.com/lenskart-air-la-e14919-c4-eyeglasses.html,Transparent,Wide,140 mm,Lenskart Air,LA E14919,False,Air Sports,True,eyeframe,[],0,3634,4.75,14.0,"Wide,Wayfarer,Lenskart Air,Full Rim",,322,Air Sport,26041.0,True,Transparent Full Rim Wayfarer Eyeglasses,1700,1700
211041,https://www.lenskart.com/lenskart-air-la-e16090-c1-eyeglasses.html,Gunmetal,Extra Wide,142 mm,Lenskart Air,LA E16090,False,Cutting Edge,True,eyeframe,[],0,1229,0.0,,"Extra Wide,Rectangle,Lenskart Air,Rimless",https://lookr-static.lenskart.com/frameassets/211041/android/sku_211041.glb,891,Cutting Edge 2.0,27161.0,True,,2000,2000
211488,https://www.lenskart.com/vincent-chase-vc-s16183-c2-sunglasses.html,Blue,Wide,145 mm,Vincent Chase,VC S16183,False,BLUE BILLION,True,sunglasses,[],0,1972,0.0,,"Wide,Wayfarer,Vincent Chase,Full Rim",https://lookr-static.lenskart.com/frameassets/211488/android/sku_211488.glb,80,BLUE BILLION,26601.0,True,Full Rim Sunglasses,2000,2000
212616,https://www.lenskart.com/vincent-chase-vc-s16415-c2-sunglasses.html,Black,Wide,142 mm,Vincent Chase Polarized,VC S16415,False,CWC PRINTED,True,sunglasses,[],0,623,0.0,,"Wide,Wayfarer,Vincent Chase Polarized,Full Rim",https://lookr-static.lenskart.com/frameassets/212616/android/sku_212616.glb,449,CWC PRINTED,27201.0,True,,1500,1500
200281,https://www.lenskart.com/lenskart-blu-lb-e14791-c3-eyeglasses.html,Cream,Medium,135 mm,Lenskart Blu,LB E14791,False,Zero Power,True,non_power_reading,[],0,1143,4.65,6.0,"Medium,Cat Eye,Lenskart Blu,Full Rim",https://lookr-static.lenskart.com/frameassets/200281/android/sku_200281.glb,750,,,True,Creamy White Full Rim Cat Eye Eyeglasses,1200,1200
212058,https://www.lenskart.com/lenskart-lk-s-16251-c2-sunglasses.html,Grey,8-12 yrs,136 mm,Hooper,LK S16251,False,Batman,True,sunglasses,[],0,1674,0.0,,"8-12 yrs,Round,Hooper,Full Rim",https://lookr-static.lenskart.com/frameassets/212058/android/sku_212058.glb,180,Batman,27481.0,True,,2000,2000
212072,https://www.lenskart.com/john-jacobs-jj-e16286-c2-eyeglasses.html,Black,Narrow,133 mm,John Jacobs,JJ E16286,False,John Jacobs,False,eyeframe,[],0,355,0.0,,"Narrow,Rectangle,John Jacobs,Rimless",https://lookr-static.lenskart.com/frameassets/212072/android/sku_212072.glb,358,Supreme Steel,26271.0,True,Black Rectangle Rimless Eyeglasses,3500,3500
143687,https://www.lenskart.com/john-jacobs-jj-e13491-c1-eyeglasses.html,Brown,Medium,134 mm,John Jacobs,JJ E13491,False,John Jacobs,True,eyeframe,[],1020,3810,4.8,20.0,"Medium,Wayfarer,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/143687/android/sku_143687.glb,350,Rich Acetate,26361.0,True,Tortoise Full Rim Wayfarer Eyeglasses,3500,3500
147405,https://www.lenskart.com/john-jacobs-jj-e13891-c3-eyeglasses.html,Blue,Medium,137 mm,John Jacobs,JJ E13891,False,John Jacobs,True,eyeframe,[],869,1469,0.0,,"Medium,Hexagonal,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/147405/android/sku_147405.glb,1433,Pro Titanium,26191.0,True,Matte Sky Blue Full Rim Hexagonal Eyeglasses,5000,5000
