Product ID,Product Brand Name,Product Model Name,Product Color,Product Market Price,Product Lenskart Price,Product Size,Product Width,Product Availability,Product Average Rating,Product Purchase Count,Product Wishlist Count,Product Total Number of Ratings,Product Tags,Product Color Options,Product Classification,Product Search Name,Product URL
152767,John Jacobs,JJ E13004,Tortoise,3500,3500,Narrow,131 mm,275,4.25,1717,0,22,John Jacobs,[],eyeframe,Brown Tortoise Full Rim Rectangle Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13004-c3-eyeglasses.html
200310,Hooper,HP S10118M,Blue,1000,1000,5-8 yrs,121 mm,157,0.0,1625,0,NA,Hooper Sunnies,[],sunglasses,Blue Transparent Square Full Rim Sunglasses,https://www.lenskart.com/hooper-hp-s10118m-c5-sunglasses.html
200658,Hooper Switch,HP E14851L,Maroon,1500,1500,8-12 yrs,126 mm,299,5.0,1071,0,1,Clippy Hooper,[],eyeframe,Maroon Full Rim Cat Eye Eyeglasses,https://www.lenskart.com/hooper-hp-e14851l-c2-eyeglasses.html
201661,John Jacobs,JJ E14991,Black,3500,3500,Narrow,131 mm,441,0.0,835,0,NA,John Jacobs,[],eyeframe,Silver Black Full Rim Cat Eye Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e14991-c1-eyeglasses.html
208117,John Jacobs,JJ E15550,Brown,5000,5000,Medium,136 mm,16,3.5,1296,0,4,John Jacobs,[],eyeframe,Tortoise Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e15550-c2-eyeglasses.html
210934,Lenskart Blu,LB E16057,Black,2000,2000,Medium,137 mm,152,0.0,261,0,NA,Zero Power,[],non_power_reading,NA,https://www.lenskart.com/lenskart-blu-lb-e16057-c3-eyeglasses.html
215343,John Jacobs,JJ S16635,Grey,5000,5000,Wide,141 mm,631,0.0,38,0,NA,John Jacobs,[],sunglasses,NA,https://www.lenskart.com/john-jacobs-jj-s16635-c2-sunglasses.html
215344,John Jacobs,JJ S16636,Brown,5000,5000,Medium,137 mm,562,0.0,38,0,NA,John Jacobs,[],sunglasses,NA,https://www.lenskart.com/john-jacobs-jj-s16636-c1-sunglasses.html
215743,John Jacobs,JJ E16684,Blue,5000,5000,Extra Wide,144 mm,774,0.0,26,0,NA,John Jacobs,[],eyeframe,Blue Full Rim Hexagonal John Jacobs ,https://www.lenskart.com/john-jacobs-jj-e16684-c1-eyeglasses.html
215750,John Jacobs,JJ E16687,Blue,5000,5000,Extra Wide,144 mm,1259,0.0,32,0,NA,John Jacobs,[],eyeframe,NA,https://www.lenskart.com/john-jacobs-jj-e16687-c2-eyeglasses.html
